epic,feature,story_id,story,scenario,code_unit,path,test,evidence,status,finding_ids,maturity,gap
Authentication & Authorization,JWT/session,S-auth-03,"As a user, I hold a short-lived access token + rotating refresh token",happy,POST /send-email-otp,backend/routes/auth.py:766,backend/tests/test_websocket_auth_ack.py,INFERRED,mapped,DRIFT-005;INFO-005;OBS-002;OBS-006;SAFETY-004,-,-
Authentication & Authorization,JWT/session,S-auth-03,"As a user, I hold a short-lived access token + rotating refresh token",happy,POST /verify-email-otp,backend/routes/auth.py:879,backend/tests/test_websocket_auth_ack.py,INFERRED,mapped,DRIFT-005;INFO-005;OBS-002;OBS-006;SAFETY-004,-,-
Authentication & Authorization,JWT/session,S-auth-03,"As a user, I hold a short-lived access token + rotating refresh token",happy,POST /verify-otp,backend/routes/auth.py:952,backend/tests/test_websocket_auth_ack.py,INFERRED,mapped,DRIFT-005;INFO-005;OBS-002;OBS-006;SAFETY-004,-,-
Authentication & Authorization,JWT/session,S-auth-03,"As a user, I hold a short-lived access token + rotating refresh token",happy,POST /reactivate,backend/routes/auth.py:1423,backend/tests/test_websocket_auth_ack.py,INFERRED,mapped,DRIFT-005;INFO-005;OBS-002;OBS-006;SAFETY-004,-,-
Authentication & Authorization,JWT/session,S-auth-03,"As a user, I hold a short-lived access token + rotating refresh token",happy,POST /firebase,backend/routes/auth.py:1543,backend/tests/test_websocket_auth_ack.py,INFERRED,mapped,DRIFT-005;INFO-005;OBS-002;OBS-006;SAFETY-004,-,-
Authentication & Authorization,JWT/session,S-auth-03,"As a user, I hold a short-lived access token + rotating refresh token",happy,GET /me,backend/routes/auth.py:1789,backend/tests/test_websocket_auth_ack.py,INFERRED,mapped,DRIFT-005;INFO-005;OBS-002;OBS-006;SAFETY-004,-,-
Authentication & Authorization,JWT/session,S-auth-03,"As a user, I hold a short-lived access token + rotating refresh token",happy,POST /refresh,backend/routes/auth.py:1897,backend/tests/test_websocket_auth_ack.py,INFERRED,mapped,DRIFT-005;INFO-005;OBS-002;OBS-006;SAFETY-004,-,-
Authentication & Authorization,JWT/session,S-auth-03,"As a user, I hold a short-lived access token + rotating refresh token",happy,POST /logout,backend/routes/auth.py:2223,backend/tests/test_websocket_auth_ack.py,INFERRED,mapped,DRIFT-005;INFO-005;OBS-002;OBS-006;SAFETY-004,-,-
Authentication & Authorization,JWT/session,S-auth-03,"As a user, I hold a short-lived access token + rotating refresh token",happy,POST /logout-all,backend/routes/auth.py:2519,backend/tests/test_websocket_auth_ack.py,INFERRED,mapped,DRIFT-005;INFO-005;OBS-002;OBS-006;SAFETY-004,-,-
Admin Dashboard & Operations,Unmapped endpoint,ORPHAN,-,happy,GET /spinr-logo.png,backend/routes/branding.py:76,backend/tests/test_branding_route.py,INFERRED,orphan,-,-,-
Corporate / B2B Billing,Unmapped endpoint,ORPHAN,-,happy,GET ,backend/routes/corporate_accounts.py:198,backend/tests/rls/test_corporate_accounts_super_admin_fix.py,INFERRED,orphan,CONCURRENCY-001,-,-
Corporate / B2B Billing,Unmapped endpoint,ORPHAN,-,happy,GET /kyb-reverification-due,backend/routes/corporate_accounts.py:261,backend/tests/rls/test_corporate_accounts_super_admin_fix.py,INFERRED,orphan,CONCURRENCY-001,-,-
Corporate / B2B Billing,Unmapped endpoint,ORPHAN,-,happy,POST /{company_id}/kyb-upload-url,backend/routes/corporate_accounts.py:308,backend/tests/rls/test_corporate_accounts_super_admin_fix.py,INFERRED,orphan,CONCURRENCY-001,-,-
Corporate / B2B Billing,Unmapped endpoint,ORPHAN,-,happy,POST /{company_id}/kyb-document,backend/routes/corporate_accounts.py:335,backend/tests/rls/test_corporate_accounts_super_admin_fix.py,INFERRED,orphan,CONCURRENCY-001,-,-
Corporate / B2B Billing,Unmapped endpoint,ORPHAN,-,happy,POST /{company_id}/kyb-review,backend/routes/corporate_accounts.py:374,backend/tests/rls/test_corporate_accounts_super_admin_fix.py,INFERRED,orphan,CONCURRENCY-001,-,-
Corporate / B2B Billing,Unmapped endpoint,ORPHAN,-,happy,GET /{company_id}/kyb/view,backend/routes/corporate_accounts.py:508,backend/tests/rls/test_corporate_accounts_super_admin_fix.py,INFERRED,orphan,CONCURRENCY-001,-,-
Corporate / B2B Billing,Unmapped endpoint,ORPHAN,-,happy,GET /{company_id}/billing/statements/{month}/pdf,backend/routes/corporate_accounts.py:553,backend/tests/rls/test_corporate_accounts_super_admin_fix.py,INFERRED,orphan,CONCURRENCY-001,-,-
Corporate / B2B Billing,Unmapped endpoint,ORPHAN,-,happy,POST ,backend/routes/corporate_accounts.py:604,backend/tests/rls/test_corporate_accounts_super_admin_fix.py,INFERRED,orphan,CONCURRENCY-001,-,-
Corporate / B2B Billing,Unmapped endpoint,ORPHAN,-,happy,GET /{account_id},backend/routes/corporate_accounts.py:698,backend/tests/rls/test_corporate_accounts_super_admin_fix.py,INFERRED,orphan,CONCURRENCY-001,-,-
Corporate / B2B Billing,Unmapped endpoint,ORPHAN,-,happy,PUT /{account_id},backend/routes/corporate_accounts.py:728,backend/tests/rls/test_corporate_accounts_super_admin_fix.py,INFERRED,orphan,CONCURRENCY-001,-,-
Corporate / B2B Billing,Unmapped endpoint,ORPHAN,-,happy,DELETE /{account_id},backend/routes/corporate_accounts.py:796,backend/tests/rls/test_corporate_accounts_super_admin_fix.py,INFERRED,orphan,CONCURRENCY-001,-,-
Corporate / B2B Billing,Company registration,S-corp-01,"As a corporate admin, I can register my company account",happy,GET /members,backend/routes/corporate_company.py:172,backend/tests/test_corporate_company_bookings_routes.py,INFERRED,mapped,-,-,-
Corporate / B2B Billing,Company registration,S-corp-01,"As a corporate admin, I can register my company account",happy,POST /members/invite,backend/routes/corporate_company.py:184,backend/tests/test_corporate_company_bookings_routes.py,INFERRED,mapped,-,-,-
Corporate / B2B Billing,Company registration,S-corp-01,"As a corporate admin, I can register my company account",happy,PATCH /members/{member_id},backend/routes/corporate_company.py:433,backend/tests/test_corporate_company_bookings_routes.py,INFERRED,mapped,-,-,-
Corporate / B2B Billing,Company registration,S-corp-01,"As a corporate admin, I can register my company account",happy,DELETE /members/{member_id},backend/routes/corporate_company.py:491,backend/tests/test_corporate_company_bookings_routes.py,INFERRED,mapped,-,-,-
Corporate / B2B Billing,Company registration,S-corp-01,"As a corporate admin, I can register my company account",happy,GET /allowances,backend/routes/corporate_company.py:512,backend/tests/test_corporate_company_bookings_routes.py,INFERRED,mapped,-,-,-
Corporate / B2B Billing,Company registration,S-corp-01,"As a corporate admin, I can register my company account",happy,GET /members/{member_id}/allowance,backend/routes/corporate_company.py:523,backend/tests/test_corporate_company_bookings_routes.py,INFERRED,mapped,-,-,-
Corporate / B2B Billing,Company registration,S-corp-01,"As a corporate admin, I can register my company account",happy,PUT /members/{member_id}/allowance,backend/routes/corporate_company.py:535,backend/tests/test_corporate_company_bookings_routes.py,INFERRED,mapped,-,-,-
Corporate / B2B Billing,Company registration,S-corp-01,"As a corporate admin, I can register my company account",happy,PATCH /members/{member_id}/allowance,backend/routes/corporate_company.py:557,backend/tests/test_corporate_company_bookings_routes.py,INFERRED,mapped,-,-,-
Corporate / B2B Billing,Company registration,S-corp-01,"As a corporate admin, I can register my company account",happy,GET /allowance-requests,backend/routes/corporate_company.py:579,backend/tests/test_corporate_company_bookings_routes.py,INFERRED,mapped,-,-,-
Corporate / B2B Billing,Company registration,S-corp-01,"As a corporate admin, I can register my company account",happy,GET /allowed-domains,backend/routes/corporate_company.py:592,backend/tests/test_corporate_company_bookings_routes.py,INFERRED,mapped,-,-,-
Corporate / B2B Billing,Company registration,S-corp-01,"As a corporate admin, I can register my company account",happy,POST /allowed-domains,backend/routes/corporate_company.py:597,backend/tests/test_corporate_company_bookings_routes.py,INFERRED,mapped,-,-,-
Corporate / B2B Billing,Company registration,S-corp-01,"As a corporate admin, I can register my company account",happy,DELETE /allowed-domains/{domain},backend/routes/corporate_company.py:617,backend/tests/test_corporate_company_bookings_routes.py,INFERRED,mapped,-,-,-
Corporate / B2B Billing,Company registration,S-corp-01,"As a corporate admin, I can register my company account",happy,POST /allowance-requests/{request_id}/decide,backend/routes/corporate_company.py:638,backend/tests/test_corporate_company_bookings_routes.py,INFERRED,mapped,-,-,-
Corporate / B2B Billing,Company registration,S-corp-01,"As a corporate admin, I can register my company account",happy,GET /policy,backend/routes/corporate_company.py:704,backend/tests/test_corporate_company_bookings_routes.py,INFERRED,mapped,-,-,-
Corporate / B2B Billing,Company registration,S-corp-01,"As a corporate admin, I can register my company account",happy,GET /policy/affected-rides-count,backend/routes/corporate_company.py:718,backend/tests/test_corporate_company_bookings_routes.py,INFERRED,mapped,-,-,-
Corporate / B2B Billing,Company registration,S-corp-01,"As a corporate admin, I can register my company account",happy,PUT /policy,backend/routes/corporate_company.py:747,backend/tests/test_corporate_company_bookings_routes.py,INFERRED,mapped,-,-,-
Corporate / B2B Billing,Company registration,S-corp-01,"As a corporate admin, I can register my company account",happy,PATCH /policy,backend/routes/corporate_company.py:792,backend/tests/test_corporate_company_bookings_routes.py,INFERRED,mapped,-,-,-
Corporate / B2B Billing,Company registration,S-corp-01,"As a corporate admin, I can register my company account",happy,GET /billing/summary,backend/routes/corporate_company.py:981,backend/tests/test_corporate_company_bookings_routes.py,INFERRED,mapped,-,-,-
Corporate / B2B Billing,Company registration,S-corp-01,"As a corporate admin, I can register my company account",happy,GET /billing/statements/{month},backend/routes/corporate_company.py:1026,backend/tests/test_corporate_company_bookings_routes.py,INFERRED,mapped,-,-,-
Corporate / B2B Billing,Company registration,S-corp-01,"As a corporate admin, I can register my company account",happy,GET /billing/statements/{month}/pdf,backend/routes/corporate_company.py:1124,backend/tests/test_corporate_company_bookings_routes.py,INFERRED,mapped,-,-,-
Corporate / B2B Billing,Company registration,S-corp-01,"As a corporate admin, I can register my company account",happy,GET /billing/transactions,backend/routes/corporate_company.py:1163,backend/tests/test_corporate_company_bookings_routes.py,INFERRED,mapped,-,-,-
Corporate / B2B Billing,Company registration,S-corp-01,"As a corporate admin, I can register my company account",happy,POST /wallet/topup,backend/routes/corporate_company.py:1194,backend/tests/test_corporate_company_bookings_routes.py,INFERRED,mapped,-,-,-
Corporate / B2B Billing,Company registration,S-corp-01,"As a corporate admin, I can register my company account",happy,POST /bookings,backend/routes/corporate_company_bookings.py:136,backend/tests/test_corporate_company_bookings_routes.py,INFERRED,mapped,MONEY-005,-,-
Corporate / B2B Billing,Company registration,S-corp-01,"As a corporate admin, I can register my company account",happy,GET /bookings,backend/routes/corporate_company_bookings.py:159,backend/tests/test_corporate_company_bookings_routes.py,INFERRED,mapped,MONEY-005,-,-
Corporate / B2B Billing,Company registration,S-corp-01,"As a corporate admin, I can register my company account",happy,POST /bookings/{ride_id}/cancel,backend/routes/corporate_company_bookings.py:260,backend/tests/test_corporate_company_bookings_routes.py,INFERRED,mapped,MONEY-005,-,-
Corporate / B2B Billing,Company registration,S-corp-01,"As a corporate admin, I can register my company account",happy,GET /bookings/fare-estimate,backend/routes/corporate_company_bookings.py:326,backend/tests/test_corporate_company_bookings_routes.py,INFERRED,mapped,MONEY-005,-,-
Corporate / B2B Billing,Company registration,S-corp-01,"As a corporate admin, I can register my company account",happy,GET /sections,backend/routes/corporate_company_bookings.py:392,backend/tests/test_corporate_company_bookings_routes.py,INFERRED,mapped,MONEY-005,-,-
Corporate / B2B Billing,Company registration,S-corp-01,"As a corporate admin, I can register my company account",happy,POST /sections,backend/routes/corporate_company_bookings.py:440,backend/tests/test_corporate_company_bookings_routes.py,INFERRED,mapped,MONEY-005,-,-
Corporate / B2B Billing,Company registration,S-corp-01,"As a corporate admin, I can register my company account",happy,PATCH /sections/{section_id},backend/routes/corporate_company_bookings.py:476,backend/tests/test_corporate_company_bookings_routes.py,INFERRED,mapped,MONEY-005,-,-
Corporate / B2B Billing,Company registration,S-corp-01,"As a corporate admin, I can register my company account",happy,DELETE /sections/{section_id},backend/routes/corporate_company_bookings.py:515,backend/tests/test_corporate_company_bookings_routes.py,INFERRED,mapped,MONEY-005,-,-
Corporate / B2B Billing,Company registration,S-corp-01,"As a corporate admin, I can register my company account",happy,GET /kyb,backend/routes/corporate_company_kyb.py:95,backend/tests/test_corporate_company_kyb.py,INFERRED,mapped,-,-,-
Corporate / B2B Billing,Company registration,S-corp-01,"As a corporate admin, I can register my company account",happy,POST /kyb/upload-url,backend/routes/corporate_company_kyb.py:113,backend/tests/test_corporate_company_kyb.py,INFERRED,mapped,-,-,-
Corporate / B2B Billing,Company registration,S-corp-01,"As a corporate admin, I can register my company account",happy,POST /kyb/submit,backend/routes/corporate_company_kyb.py:143,backend/tests/test_corporate_company_kyb.py,INFERRED,mapped,-,-,-
Corporate / B2B Billing,Per-ride corporate charge,S-corp-04,"As a corporate rider, my ride is charged to my company account",happy,GET ,backend/routes/corporate_rider.py:103,backend/tests/test_corporate_rider_routes.py,INFERRED,mapped,-,-,-
Corporate / B2B Billing,Per-ride corporate charge,S-corp-04,"As a corporate rider, my ride is charged to my company account",happy,GET /auto-match,backend/routes/corporate_rider.py:125,backend/tests/test_corporate_rider_routes.py,INFERRED,mapped,-,-,-
Corporate / B2B Billing,Per-ride corporate charge,S-corp-04,"As a corporate rider, my ride is charged to my company account",happy,POST /accept-invite,backend/routes/corporate_rider.py:133,backend/tests/test_corporate_rider_routes.py,INFERRED,mapped,-,-,-
Corporate / B2B Billing,Per-ride corporate charge,S-corp-04,"As a corporate rider, my ride is charged to my company account",happy,POST /join-domain,backend/routes/corporate_rider.py:147,backend/tests/test_corporate_rider_routes.py,INFERRED,mapped,-,-,-
Corporate / B2B Billing,Per-ride corporate charge,S-corp-04,"As a corporate rider, my ride is charged to my company account",happy,GET /{company_id}/balance,backend/routes/corporate_rider.py:191,backend/tests/test_corporate_rider_routes.py,INFERRED,mapped,-,-,-
Corporate / B2B Billing,Per-ride corporate charge,S-corp-04,"As a corporate rider, my ride is charged to my company account",happy,GET /{company_id}/rides,backend/routes/corporate_rider.py:211,backend/tests/test_corporate_rider_routes.py,INFERRED,mapped,-,-,-
Corporate / B2B Billing,Per-ride corporate charge,S-corp-04,"As a corporate rider, my ride is charged to my company account",happy,GET /{company_id}/statement/{month},backend/routes/corporate_rider.py:307,backend/tests/test_corporate_rider_routes.py,INFERRED,mapped,-,-,-
Corporate / B2B Billing,Per-ride corporate charge,S-corp-04,"As a corporate rider, my ride is charged to my company account",happy,GET /{company_id}/statement/{month}/pdf,backend/routes/corporate_rider.py:325,backend/tests/test_corporate_rider_routes.py,INFERRED,mapped,-,-,-
Corporate / B2B Billing,Per-ride corporate charge,S-corp-04,"As a corporate rider, my ride is charged to my company account",happy,POST /{company_id}/allowance-requests,backend/routes/corporate_rider.py:369,backend/tests/test_corporate_rider_routes.py,INFERRED,mapped,-,-,-
Corporate / B2B Billing,Per-ride corporate charge,S-corp-04,"As a corporate rider, my ride is charged to my company account",happy,GET /{company_id}/allowance-requests,backend/routes/corporate_rider.py:425,backend/tests/test_corporate_rider_routes.py,INFERRED,mapped,-,-,-
Corporate / B2B Billing,Company registration,S-corp-01,"As a corporate admin, I can register my company account",happy,POST /signup,backend/routes/corporate_signup.py:64,backend/tests/test_corporate_signup.py,INFERRED,mapped,-,-,-
Corporate / B2B Billing,Invoicing/subscriptions,S-corp-06,"As a corporate admin, my company is billed via a subscription plan",happy,GET /subscription-plans,backend/routes/corporate_subscriptions.py:87,backend/tests/test_corporate_subscriptions_route.py,INFERRED,mapped,-,-,-
Corporate / B2B Billing,Invoicing/subscriptions,S-corp-06,"As a corporate admin, my company is billed via a subscription plan",happy,GET /{company_id}/subscription,backend/routes/corporate_subscriptions.py:93,backend/tests/test_corporate_subscriptions_route.py,INFERRED,mapped,-,-,-
Corporate / B2B Billing,Invoicing/subscriptions,S-corp-06,"As a corporate admin, my company is billed via a subscription plan",happy,POST /{company_id}/subscription,backend/routes/corporate_subscriptions.py:103,backend/tests/test_corporate_subscriptions_route.py,INFERRED,mapped,-,-,-
Corporate / B2B Billing,Invoicing/subscriptions,S-corp-06,"As a corporate admin, my company is billed via a subscription plan",happy,POST /{company_id}/subscription/cancel,backend/routes/corporate_subscriptions.py:134,backend/tests/test_corporate_subscriptions_route.py,INFERRED,mapped,-,-,-
Corporate / B2B Billing,Invoicing/subscriptions,S-corp-06,"As a corporate admin, my company is billed via a subscription plan",happy,POST /{company_id}/subscription-pilot,backend/routes/corporate_subscriptions.py:150,backend/tests/test_corporate_subscriptions_route.py,INFERRED,mapped,-,-,-
Corporate / B2B Billing,Allowance cap & ledger,S-corp-03,"As a corporate admin, member allowances are capped and tracked atomically",happy,GET /wallet-portfolio,backend/routes/corporate_wallet.py:106,backend/tests/test_corporate_wallet_freeze.py,INFERRED,mapped,MONEY-005,-,-
Corporate / B2B Billing,Allowance cap & ledger,S-corp-03,"As a corporate admin, member allowances are capped and tracked atomically",happy,GET /{company_id}/wallet,backend/routes/corporate_wallet.py:126,backend/tests/test_corporate_wallet_freeze.py,INFERRED,mapped,MONEY-005,-,-
Corporate / B2B Billing,Allowance cap & ledger,S-corp-03,"As a corporate admin, member allowances are capped and tracked atomically",happy,POST /{company_id}/wallet/topup,backend/routes/corporate_wallet.py:159,backend/tests/test_corporate_wallet_freeze.py,INFERRED,mapped,MONEY-005,-,-
Corporate / B2B Billing,Allowance cap & ledger,S-corp-03,"As a corporate admin, member allowances are capped and tracked atomically",happy,POST /{company_id}/wallet/adjust,backend/routes/corporate_wallet.py:262,backend/tests/test_corporate_wallet_freeze.py,INFERRED,mapped,MONEY-005,-,-
Corporate / B2B Billing,Allowance cap & ledger,S-corp-03,"As a corporate admin, member allowances are capped and tracked atomically",happy,PUT /{company_id}/wallet/config,backend/routes/corporate_wallet.py:327,backend/tests/test_corporate_wallet_freeze.py,INFERRED,mapped,MONEY-005,-,-
Admin Dashboard & Operations,Dispute resolution,S-admin-04,"As an admin, I resolve disputes and support tickets",happy,POST ,backend/routes/disputes.py:55,backend/tests/rls/test_disputes_rls.py,INFERRED,mapped,-,-,-
Admin Dashboard & Operations,Dispute resolution,S-admin-04,"As an admin, I resolve disputes and support tickets",happy,GET ,backend/routes/disputes.py:128,backend/tests/rls/test_disputes_rls.py,INFERRED,mapped,-,-,-
Admin Dashboard & Operations,Dispute resolution,S-admin-04,"As an admin, I resolve disputes and support tickets",happy,GET /{dispute_id},backend/routes/disputes.py:141,backend/tests/rls/test_disputes_rls.py,INFERRED,mapped,-,-,-
Admin Dashboard & Operations,Dispute resolution,S-admin-04,"As an admin, I resolve disputes and support tickets",happy,GET ,backend/routes/disputes.py:157,backend/tests/rls/test_disputes_rls.py,INFERRED,mapped,-,-,-
Admin Dashboard & Operations,Dispute resolution,S-admin-04,"As an admin, I resolve disputes and support tickets",happy,PUT /{dispute_id}/resolve,backend/routes/disputes.py:206,backend/tests/rls/test_disputes_rls.py,INFERRED,mapped,-,-,-
Ride Booking & Matching,Fare estimation,S-book-01,"As a rider, I see the full price incl. surge before I book",happy,GET /vehicle-types,backend/routes/fares.py:79,backend/tests/test_routes_fares_coverage.py,INFERRED,mapped,-,-,-
Ride Booking & Matching,Fare estimation,S-book-01,"As a rider, I see the full price incl. surge before I book",happy,GET /fares,backend/routes/fares.py:359,backend/tests/test_routes_fares_coverage.py,INFERRED,mapped,-,-,-
Ride Booking & Matching,Address/pickup validation,S-book-08,"As a rider, I can save/select addresses and favorites for pickup/dropoff",happy,GET ,backend/routes/favorites.py:38,backend/tests/test_favorites_coverage.py,INFERRED,mapped,-,-,-
Ride Booking & Matching,Address/pickup validation,S-book-08,"As a rider, I can save/select addresses and favorites for pickup/dropoff",happy,POST ,backend/routes/favorites.py:59,backend/tests/test_favorites_coverage.py,INFERRED,mapped,-,-,-
Ride Booking & Matching,Address/pickup validation,S-book-08,"As a rider, I can save/select addresses and favorites for pickup/dropoff",happy,POST /{favorite_id}/use,backend/routes/favorites.py:115,backend/tests/test_favorites_coverage.py,INFERRED,mapped,-,-,-
Ride Booking & Matching,Address/pickup validation,S-book-08,"As a rider, I can save/select addresses and favorites for pickup/dropoff",happy,DELETE /{favorite_id},backend/routes/favorites.py:132,backend/tests/test_favorites_coverage.py,INFERRED,mapped,-,-,-
Ride Booking & Matching,Address/pickup validation,S-book-08,"As a rider, I can save/select addresses and favorites for pickup/dropoff",happy,POST /from-ride/{ride_id},backend/routes/favorites.py:143,backend/tests/test_favorites_coverage.py,INFERRED,mapped,-,-,-
Legacy Import & Data Migration,Legacy consent/badge,S-legacy-06,"As a legacy user, I see consent/notice about migrated data",happy,GET /status,backend/routes/legacy_consent.py:70,backend/tests/test_legacy_consent_notice.py,INFERRED,mapped,-,-,-
Legacy Import & Data Migration,Legacy consent/badge,S-legacy-06,"As a legacy user, I see consent/notice about migrated data",happy,POST /accept,backend/routes/legacy_consent.py:86,backend/tests/test_legacy_consent_notice.py,INFERRED,mapped,-,-,-
Admin Dashboard & Operations,Driver management,S-admin-01,"As an admin, I review/approve/manage drivers and documents",happy,GET /legal-documents,backend/routes/legal_documents.py:47,backend/tests/test_legal_documents.py,INFERRED,mapped,-,-,-
Ride Fulfillment,Lost & found,S-fulfil-08,"As a rider/driver, I can report/claim a lost item after a ride",happy,GET ,backend/routes/lost_and_found.py:173,backend/tests/rls/test_lost_and_found_rls.py,INFERRED,mapped,-,-,-
Ride Fulfillment,Lost & found,S-fulfil-08,"As a rider/driver, I can report/claim a lost item after a ride",happy,GET /{case_id},backend/routes/lost_and_found.py:235,backend/tests/rls/test_lost_and_found_rls.py,INFERRED,mapped,-,-,-
Ride Fulfillment,Lost & found,S-fulfil-08,"As a rider/driver, I can report/claim a lost item after a ride",happy,POST /driver-report,backend/routes/lost_and_found.py:253,backend/tests/rls/test_lost_and_found_rls.py,INFERRED,mapped,-,-,-
Ride Fulfillment,Lost & found,S-fulfil-08,"As a rider/driver, I can report/claim a lost item after a ride",happy,PUT /{case_id}/respond,backend/routes/lost_and_found.py:344,backend/tests/rls/test_lost_and_found_rls.py,INFERRED,mapped,-,-,-
Ride Fulfillment,Lost & found,S-fulfil-08,"As a rider/driver, I can report/claim a lost item after a ride",happy,GET /{case_id}/messages,backend/routes/lost_and_found.py:401,backend/tests/rls/test_lost_and_found_rls.py,INFERRED,mapped,-,-,-
Ride Fulfillment,Lost & found,S-fulfil-08,"As a rider/driver, I can report/claim a lost item after a ride",happy,POST /{case_id}/messages,backend/routes/lost_and_found.py:430,backend/tests/rls/test_lost_and_found_rls.py,INFERRED,mapped,-,-,-
Ride Fulfillment,Lost & found,S-fulfil-08,"As a rider/driver, I can report/claim a lost item after a ride",happy,POST /{case_id}/messages/image,backend/routes/lost_and_found.py:468,backend/tests/rls/test_lost_and_found_rls.py,INFERRED,mapped,-,-,-
Promotions & Loyalty,Rider loyalty,S-promo-03,"As a rider, I earn loyalty rewards",happy,GET ,backend/routes/loyalty.py:79,backend/tests/test_loyalty.py,INFERRED,mapped,-,-,-
Promotions & Loyalty,Rider loyalty,S-promo-03,"As a rider, I earn loyalty rewards",happy,GET /history,backend/routes/loyalty.py:100,backend/tests/test_loyalty.py,INFERRED,mapped,-,-,-
Promotions & Loyalty,Rider loyalty,S-promo-03,"As a rider, I earn loyalty rewards",happy,POST /earn,backend/routes/loyalty.py:121,backend/tests/test_loyalty.py,INFERRED,mapped,-,-,-
Promotions & Loyalty,Rider loyalty,S-promo-03,"As a rider, I earn loyalty rewards",happy,POST /redeem,backend/routes/loyalty.py:215,backend/tests/test_loyalty.py,INFERRED,mapped,-,-,-
Admin Dashboard & Operations,Unmapped endpoint,ORPHAN,-,happy,GET /,backend/routes/main.py:27,backend/tests/test_auth_remaining_endpoints.py,INFERRED,orphan,-,-,-
Admin Dashboard & Operations,Unmapped endpoint,ORPHAN,-,happy,GET /health,backend/routes/main.py:32,backend/tests/test_auth_remaining_endpoints.py,INFERRED,orphan,-,-,-
Admin Dashboard & Operations,Unmapped endpoint,ORPHAN,-,happy,GET /health,backend/routes/main.py:38,backend/tests/test_auth_remaining_endpoints.py,INFERRED,orphan,-,-,-
Maps & Routing,Google Maps integration,S-maps-01,"As a rider/driver, maps render with a server-proxied API key",happy,GET /places/autocomplete,backend/routes/maps_proxy.py:137,backend/tests/test_maps_proxy_coverage.py,INFERRED,mapped,-,-,-
Maps & Routing,Google Maps integration,S-maps-01,"As a rider/driver, maps render with a server-proxied API key",happy,GET /places/details,backend/routes/maps_proxy.py:205,backend/tests/test_maps_proxy_coverage.py,INFERRED,mapped,-,-,-
Maps & Routing,Google Maps integration,S-maps-01,"As a rider/driver, maps render with a server-proxied API key",happy,GET /reverse-geocode,backend/routes/maps_proxy.py:240,backend/tests/test_maps_proxy_coverage.py,INFERRED,mapped,-,-,-
Maps & Routing,Google Maps integration,S-maps-01,"As a rider/driver, maps render with a server-proxied API key",happy,GET /directions,backend/routes/maps_proxy.py:316,backend/tests/test_maps_proxy_coverage.py,INFERRED,mapped,-,-,-
Maps & Routing,Google Maps integration,S-maps-01,"As a rider/driver, maps render with a server-proxied API key",happy,GET /pickup-points,backend/routes/maps_proxy.py:435,backend/tests/test_maps_proxy_coverage.py,INFERRED,mapped,-,-,-
Promotions & Loyalty,Marketing/subscriptions,S-promo-05,"As a rider/driver, I subscribe to a paid plan (Spinr Pass)",happy,POST /unsubscribe,backend/routes/marketing.py:95,backend/tests/test_marketing_preferences.py,INFERRED,mapped,-,-,-
