ID,Severity,Priority,Module / Surface,File Name,Repo Path (file:line),Category,Finding (title),Reason (detail),Impact,Risk,Recommendation,Fix / Remediation,Owner,Status,Target Sprint,Regression test needed?,Notes
SPINR-011,Critical,P0,Repo-wide · Money,wallet.py,backend/routes/admin/wallet.py:144,Financial,Admin wallet credit uses non-atomic read-modify-write on balance,"admin_credit_wallet reads wallet.balance, computes new_balance in Python, then writes it back with only {""id"": wallet[""id""]} as the filter — no compare-and-swap on the balance value and no row-locking RPC — so a concurrent write to the same wallet (another admin action, a ride payment, or a cancellation-fee debit) can be silently overwritten (lost update).","Money can be lost, mischarged, double-counted, or paid out incorrectly on real transactions.","HIGH — can occur during normal operation with direct money, data-exposure, or safety/regulatory consequences. Treat as release-blocking.","Route all wallet balance mutations (credit, debit, cancellation fee, no-show fee) through a single Postgres function with row-level locking (mirroring corporate_wallet_apply_delta), or add an optimistic-concurrency filter {""id"": wallet_id, ","Route all wallet balance mutations (credit, debit, cancellation fee, no-show fee) through a single Postgres function with row-level locking (mirroring corporate_wallet_apply_delta), or add an optimistic-concurrency filter {""id"": wallet_id, ""balance"": old_balance} and retry on 0-row match.",,Open,,,
SPINR-012,Critical,P0,Repo-wide · Money,wallet.py,backend/routes/admin/wallet.py:232,Financial,Admin wallet debit has the same lost-update race as credit,"admin_debit_wallet performs the identical read-then-write pattern as admin_credit_wallet: balance sufficiency is checked against a stale in-memory old_balance and the write has no compare-and-swap guard, so a concurrent debit/credit on the same wallet can result in an incorrect final balance or a debit succeeding against a balance that no longer exists.","Money can be lost, mischarged, double-counted, or paid out incorrectly on real transactions.","HIGH — can occur during normal operation with direct money, data-exposure, or safety/regulatory consequences. Treat as release-blocking.",Same as the credit endpoint — use an atomic RPC or optimistic-concurrency WHERE clause on balance.,Same as the credit endpoint — use an atomic RPC or optimistic-concurrency WHERE clause on balance.,,Open,,,
SPINR-013,Critical,P0,Repo-wide · Money,ride_cancel.py,backend/routes/drivers/ride_cancel.py:265,Financial,Rider wallet no-show fee debit has the same lost-update race,"The no-show fee charge to the rider's wallet reads balance, computes new_balance, and writes back with only an id filter — same TOCTOU gap as the cancellation-fee and admin wallet paths, risking silently dropped or double-applied charges under concurrency.","Money can be lost, mischarged, double-counted, or paid out incorrectly on real transactions.","HIGH — can occur during normal operation with direct money, data-exposure, or safety/regulatory consequences. Treat as release-blocking.",Same as other wallet-balance sites — atomic RPC or optimistic-concurrency filter.,Same as other wallet-balance sites — atomic RPC or optimistic-concurrency filter.,,Open,,,
SPINR-014,Critical,P0,Repo-wide · Money,cancellation.py,backend/routes/rides/cancellation.py:136,Financial,Rider wallet cancellation-fee debit is a non-atomic read-modify-write,"cancel_ride_rider debits the rider's wallet for the cancellation fee by reading balance, computing new_balance in Python, then writing with only {""id"": rider_wallet[""id""]} as the filter — a concurrent wallet mutation (e.g. a wallet top-up webhook or another ride's fee) landing between the read and write is lost.","Money can be lost, mischarged, double-counted, or paid out incorrectly on real transactions.","HIGH — can occur during normal operation with direct money, data-exposure, or safety/regulatory consequences. Treat as release-blocking.","Move this debit through the same locked RPC used by wallet_pay_for_ride, or add optimistic concurrency on the balance column.","Move this debit through the same locked RPC used by wallet_pay_for_ride, or add optimistic concurrency on the balance column.",,Open,,,
SPINR-015,Critical,P0,Repo-wide · Security,ride_cancel.py,backend/routes/drivers/ride_cancel.py:57,Security,Driver-cancel endpoint has no ownership check — any driver can cancel any ride,"POST /rides/{ride_id}/cancel (driver-side) never verifies that the calling driver is the ride's assigned driver, so any authenticated driver can cancel any other driver's or an unassigned ride.","Someone could read or change data they should not, or bypass a control.","HIGH — can occur during normal operation with direct money, data-exposure, or safety/regulatory consequences. Treat as release-blocking.","Add `if ride.get(""driver_id"") != driver[""id""]: raise HTTPException(status_code=403, detail=""Not your assigned ride"")` before the cancel branch, and add `driver_id: driver[""id""]` to `_cancel_filter` so the atomic update is also ownership-sco","Add `if ride.get(""driver_id"") != driver[""id""]: raise HTTPException(status_code=403, detail=""Not your assigned ride"")` before the cancel branch, and add `driver_id: driver[""id""]` to `_cancel_filter` so the atomic update is also ownership-scoped.",,Open,,,
SPINR-016,Critical,P0,Repo-wide · Security,ride_cancel.py,backend/routes/drivers/ride_cancel.py:132,Legal / Regulatory,Wrong-driver cancel corrupts SGI insurance period audit trail for an uninvolved driver,"Because cancel_ride is exploitable by any driver (see IDOR finding above), `record_period_transition(driver[""id""], 1)` records an insurance-period transition for the attacking driver — who was never in period 2 for this ride — while the real assigned driver's period-2 row is left open forever (append-only ledger never closed), corrupting the regulatory audit trail required by CLAUDE.md's insurance-period rules.","Creates regulatory, insurance, or tax exposure under Saskatchewan / SGI / CRA rules.","HIGH — can occur during normal operation with direct money, data-exposure, or safety/regulatory consequences. Treat as release-blocking.",Fix the ownership check in cancel_ride (see prior finding);,"Fix the ownership check in cancel_ride (see prior finding); once fixed, `driver[""id""]` will always equal `ride[""driver_id""]`, closing this gap as a side effect.",,Open,,,
SPINR-017,Major,P1,Backend · Admin API,drivers.py,backend/routes/admin/drivers.py:1392,Correctness / Bug,Driver 'reject' action accepted by the request model but has no handler branch — always 400,"POST /admin/drivers/{id}/action with action='reject' passes Pydantic validation but falls into the else branch and returns 400 'Unknown action: reject', so admins cannot reject applications via the documented lifecycle endpoint.","The feature can behave incorrectly, crash, or corrupt data that other parts of the system rely on.","MEDIUM-HIGH — a real defect that will surface under load, edge cases, or specific user flows; fix before it reaches those conditions.","Add an `elif req.action == ""reject"":` branch that sets status='rejected' (or 'needs_review'), stores rejection_reason, and requires a reason like suspend/ban.","Add an `elif req.action == ""reject"":` branch that sets status='rejected' (or 'needs_review'), stores rejection_reason, and requires a reason like suspend/ban.",,Open,,,
SPINR-018,Major,P1,Backend · Admin API,faqs.py,backend/routes/admin/faqs.py:166,Performance,"Broadcast notification awaits up to 10,000 sequential pushes inside the request handler","POST /admin/notifications/send with audience all/riders/drivers loops `await send_push_notification` per user in-request with no background task or concurrency, so the request takes minutes and times out mid-broadcast, leaving delivery partially complete with no resume.","Slows the system or breaches a latency target, hurting the rider/driver experience at scale.","MEDIUM-HIGH — a real defect that will surface under load, edge cases, or specific user flows; fix before it reaches those conditions.","Fan out via BackgroundTasks with bounded concurrency (mirror messaging._fan_out), or delegate this endpoint to the cloud-messaging path.","Fan out via BackgroundTasks with bounded concurrency (mirror messaging._fan_out), or delegate this endpoint to the cloud-messaging path.",,Open,,,
SPINR-019,Major,P1,Backend · Admin API,legal_documents.py,backend/routes/admin/legal_documents.py:58,Compliance (PIPEDA),ToS/Privacy edits overwrite content in place with no version history and no audit log,"admin_upsert_legal_document bumps `version` but replaces `content` on the same row, destroying the text of every prior version users consented to, and records no audit trail of who changed the legal documents.","Breaks a Canadian privacy (PIPEDA) data-handling rule — PII or GPS exposure, or wrong retention.","MEDIUM-HIGH — a real defect that will surface under load, edge cases, or specific user flows; fix before it reaches those conditions.","Append a new versioned row per edit (keep old rows immutable), add a unique constraint on (audience, doc_type, version), and log_admin_action with the admin actor.","Append a new versioned row per edit (keep old rows immutable), add a unique constraint on (audience, doc_type, version), and log_admin_action with the admin actor.",,Open,,,
SPINR-020,Major,P1,Backend · Admin API,maintenance.py,backend/routes/admin/maintenance.py:176,Reporting / Data,Driver daily rollup discovers online drivers from only the first 10k GPS points of the day,"The rollup identifies 'drivers online that day' by fetching at most 10,000 driver_location_history rows ordered by timestamp ascending — roughly the first hour of a busy day — so drivers who were online later without completing rides get no driver_daily_stats row, corrupting online_minutes and the driver-utilization KPI.","Dashboards, metrics, receipts, or tax records show wrong numbers, undermining decisions and audits.","MEDIUM-HIGH — a real defect that will surface under load, edge cases, or specific user flows; fix before it reaches those conditions.",Get distinct driver_ids via SQL (SELECT DISTINCT driver_id ...,"Get distinct driver_ids via SQL (SELECT DISTINCT driver_id ... or an RPC) instead of fetching raw rows, mirroring the existing compute_driver_phase_distances server-side approach.",,Open,,,
SPINR-021,Major,P1,Backend · Admin API,messaging.py,backend/routes/admin/messaging.py:477,Compliance (PIPEDA),Marketing suppression deletion claims to be audited but writes no audit row,"DELETE /admin/marketing/suppressions/{id} re-enables marketing to a bounced/complained/unsubscribed address with no audit_logs record of who lifted it, despite the docstring asserting 'The deletion is audited via the standard admin audit trail' — a CASL exposure with no accountability trail.","Breaks a Canadian privacy (PIPEDA) data-handling rule — PII or GPS exposure, or wrong retention.","MEDIUM-HIGH — a real defect that will surface under load, edge cases, or specific user flows; fix before it reaches those conditions.","Log an audit row (actor, channel, masked target, original suppression reason) before deleting, and consider restricting bounce/complaint-sourced deletions to super_admin.","Log an audit row (actor, channel, masked target, original suppression reason) before deleting, and consider restricting bounce/complaint-sourced deletions to super_admin.",,Open,,,
SPINR-022,Major,P1,Backend · Admin API,rides.py,backend/routes/admin/rides.py:404,Legal / Regulatory,"Admin force-cancel allows cancelling an in_progress ride, violating the ride state machine","admin_cancel_ride only rejects completed/cancelled, so a ride with a passenger aboard (in_progress) can be flipped to cancelled — CLAUDE.md forbids any transition from in_progress except completed, and a cancelled in-progress trip corrupts insurance-period and fare records.","Creates regulatory, insurance, or tax exposure under Saskatchewan / SGI / CRA rules.","MEDIUM-HIGH — a real defect that will surface under load, edge cases, or specific user flows; fix before it reaches those conditions.","Reject cancellation when status == 'in_progress' (offer force-complete instead), and make the update conditional on the previously-read status so a concurrent completion wins.","Reject cancellation when status == 'in_progress' (offer force-complete instead), and make the update conditional on the previously-read status so a concurrent completion wins.",,Open,,,
SPINR-023,Major,P1,Backend · Admin API,rides.py,backend/routes/admin/rides.py:452,Compliance (PIPEDA),Admin cancel frees the driver without recording an insurance period transition,"admin_cancel_ride calls set_driver_available but never record_period_transition, leaving the driver logged in Period 2/3 in driver_insurance_periods while actually back in Period 1 — an SGI insurance-period misclassification.","Breaks a Canadian privacy (PIPEDA) data-handling rule — PII or GPS exposure, or wrong retention.","MEDIUM-HIGH — a real defect that will surface under load, edge cases, or specific user flows; fix before it reaches those conditions.","Add `await record_period_transition(driver_id, 1)` to the cancel path alongside freeing the driver.","Add `await record_period_transition(driver_id, 1)` to the cancel path alongside freeing the driver.",,Open,,,
SPINR-024,Major,P1,Backend · Admin API,staff.py,backend/routes/admin/staff.py:257,Correctness / Bug,Deactivating the last active super_admin is not blocked — full admin lockout possible,"The 'cannot demote the last active super admin' guard only fires on role change; setting is_active=false on the last super_admin (including yourself) succeeds, bumps token_version, revokes all refresh tokens, and locks the org out of staff management permanently.","The feature can behave incorrectly, crash, or corrupt data that other parts of the system rely on.","MEDIUM-HIGH — a real defect that will surface under load, edge cases, or specific user flows; fix before it reaches those conditions.","Apply the same active-super_admin count check when is_active=False targets a super_admin row, and reject self-deactivation.","Apply the same active-super_admin count check when is_active=False targets a super_admin row, and reject self-deactivation.",,Open,,,
SPINR-025,Major,P1,Backend · Admin API,users.py,backend/routes/admin/users.py:494,Correctness / Bug,DSAR status update calls nonexistent db_supabase.get_one — endpoint always 500s,PATCH /admin/dsars/{id}/status crashes with AttributeError on every call because db_supabase has no get_one function.,"The feature can behave incorrectly, crash, or corrupt data that other parts of the system rely on.","MEDIUM-HIGH — a real defect that will surface under load, edge cases, or specific user flows; fix before it reaches those conditions.","Replace with `await db_supabase.find_one(""data_export_requests"", {""id"": request_id})` and add a regression test that patches backend.db_supabase and exercises the endpoint.","Replace with `await db_supabase.find_one(""data_export_requests"", {""id"": request_id})` and add a regression test that patches backend.db_supabase and exercises the endpoint.",,Open,,,
SPINR-026,Major,P1,Backend · Auth & Identity,middleware.py,backend/core/middleware.py:85,User Experience,App Check enforcement (ENV=production) breaks the public trip-share tracking page,"The browser tracking page at track.spinr.ca fetches `/api/v1/rides/track/{share_token}` directly from the backend, but that path is not in _APP_CHECK_EXEMPT_PREFIXES, so with enforcement_enabled=is_production every fetch returns 401 'App Check token required' and the shareable live-trip link — a safety feature — is dead in production.","Riders or drivers hit confusion, dead ends, wrong information, or silent failures.","MEDIUM-HIGH — a real defect that will surface under load, edge cases, or specific user flows; fix before it reaches those conditions.","Add `/api/v1/rides/track/` to _APP_CHECK_EXEMPT_PREFIXES (the endpoint is already authorised by the unguessable share token), and add a regression test asserting a token-less GET to /api/v1/rides/track/x passes App Check in enforcement mode","Add `/api/v1/rides/track/` to _APP_CHECK_EXEMPT_PREFIXES (the endpoint is already authorised by the unguessable share token), and add a regression test asserting a token-less GET to /api/v1/rides/track/x passes App Check in enforcement mode.",,Open,,,
SPINR-027,Major,P1,Backend · Auth & Identity,middleware.py,backend/core/middleware.py:694,Correctness / Bug,RelativeRedirectMiddleware rewrites legitimate external redirects (Supabase signed Storage URLs) into broken same-host paths,"The middleware relativizes ANY absolute http(s) Location on 301/302/307/308, including redirects that intentionally point off-host; the legacy driver-document path returns RedirectResponse(doc['document_url']) where document_url is an absolute Supabase Storage signed URL, so the browser is redirected to /storage/v1/object/... on the API host and gets a 404 — admins cannot open those driver documents, blocking onboarding review.","The feature can behave incorrectly, crash, or corrupt data that other parts of the system rely on.","MEDIUM-HIGH — a real defect that will surface under load, edge cases, or specific user flows; fix before it reaches those conditions.",Only strip scheme+host when the Location host matches the request host (or a configured internal host list): `parsed = urlparse(location);,"Only strip scheme+host when the Location host matches the request host (or a configured internal host list): `parsed = urlparse(location); if parsed.netloc in {request.url.netloc, <internal hosts>}: relativize`, otherwise leave the absolute URL untouched.",,Open,,,
SPINR-028,Major,P1,Backend · Auth & Identity,middleware.py,backend/core/middleware.py:731,Correctness / Bug,DeadlineMiddleware trusts the client clock — a device with a skewed clock gets 503 on every request,"X-Deadline-Ms is computed client-side as Date.now()+timeout (shared/api/client.ts:28) and compared to the server clock with no skew guard or minimum floor; a phone whose clock is behind the server by more than the axios timeout produces an already-expired deadline on every request, so run_sync rejects every DB call with ServiceUnavailableException (503) and the app is completely unusable for that user, with no error indicating why.","The feature can behave incorrectly, crash, or corrupt data that other parts of the system rely on.","MEDIUM-HIGH — a real defect that will surface under load, edge cases, or specific user flows; fix before it reaches those conditions.","Clamp server-side: if remaining_ms <= 0 (or absurdly small/large, e.g.","Clamp server-side: if remaining_ms <= 0 (or absurdly small/large, e.g. outside 0..120000), treat the header as skewed and either ignore it or floor remaining to a sane minimum (e.g. min 2s, max the known client timeout). The request's arrival itself proves the client had not given up at send time.",,Open,,,
SPINR-029,Major,P1,Backend · Auth & Identity,redis_client.py,backend/utils/redis_client.py:80,Security,"redis_client only reads REDIS_URL from the environment — a deploy configured with RATE_LIMIT_REDIS_URL/WS_REDIS_URL alone silently runs OTP lockout, SMS caps, caches, and leader locks in-process","_get_redis() reads only os.environ['REDIS_URL'] with no fallback to RATE_LIMIT_REDIS_URL/WS_REDIS_URL, yet production validation (middleware._validate_production_config) requires only RATE_LIMIT_REDIS_URL and lifespan's own error message blesses 'RATE_LIMIT_REDIS_URL + WS_REDIS_URL' as sufficient — such a deploy boots clean while OTP brute-force lockout, the per-phone SMS send cap, row caches, idempotency keys and every redis_set_nx leader lock silently use the per-replica in-process dict, multiplying auth-attack limits by N replicas and resetting them on every restart.","Someone could read or change data they should not, or bypass a control.","MEDIUM-HIGH — a real defect that will surface under load, edge cases, or specific user flows; fix before it reaches those conditions.","In _get_redis(), fall back through REDIS_URL → RATE_LIMIT_REDIS_URL (matching the documented chain), or make _validate_production_config require REDIS_URL itself in production.","In _get_redis(), fall back through REDIS_URL → RATE_LIMIT_REDIS_URL (matching the documented chain), or make _validate_production_config require REDIS_URL itself in production. Also log at ERROR (not silently) when production ENV runs on the in-process fallback.",,Open,,,
SPINR-030,Major,P1,Backend · Background loops,lifespan.py,backend/core/lifespan.py:434,Reporting / Data,Watchdog registration and heartbeat coverage gaps leave many loops unmonitored,"Nine spawned loops are absent from _WATCHDOG_LOOP_NAMES (safety_checkin, reconciliation, preauth_capture, referral_payout, driver_claim_reaper, route_finalizer, route_gap_monitor, suspension_reactivation, zoho_desk_sync) and three registered names never record a heartbeat (subscription_expiry, t4a_annual_job, push_retry), so the stale-loop alerter can never fire for payment-, dispatch-, and safety-critical loops — several of which dutifully record heartbeats that nothing ever checks.","Dashboards, metrics, receipts, or tax records show wrong numbers, undermining decisions and audits.","MEDIUM-HIGH — a real defect that will surface under load, edge cases, or specific user flows; fix before it reaches those conditions.","Make registration self-derive from _spawn (register every spawned name), add record_heartbeat calls to subscription_expiry, t4a, push_retry, fix safety_checkin's name to match, and add a test asserting the watchdog list equals the spawned-l","Make registration self-derive from _spawn (register every spawned name), add record_heartbeat calls to subscription_expiry, t4a, push_retry, fix safety_checkin's name to match, and add a test asserting the watchdog list equals the spawned-loop set.",,Open,,,
SPINR-031,Major,P1,Backend · Background loops,document_expiry.py,backend/utils/document_expiry.py:147,Legal / Regulatory,Expired-document suspension has no active-ride guard and writes no insurance-period transition,"When a document crosses its expiry the loop suspends the driver, clears Redis presence, and force-disconnects their WebSocket with no check for an active ride — a driver mid-trip (in_progress, Period 3) loses their live connection and is flipped is_online=False, and no driver_insurance_periods row is written for the offline transition, leaving the SGI-auditable period log showing an open Period 1+ window that never closes.","Creates regulatory, insurance, or tax exposure under Saskatchewan / SGI / CRA rules.","MEDIUM-HIGH — a real defect that will surface under load, edge cases, or specific user flows; fix before it reaches those conditions.","Skip (and log) drivers linked to an active ride, deferring suspension to trip end;","Skip (and log) drivers linked to an active ride, deferring suspension to trip end; on a successful offline flip, call record_period_transition(driver_id, 0) as the stale-intent path does.",,Open,,,
SPINR-032,Major,P1,Backend · Background loops,payment_retry.py,backend/utils/payment_retry.py:331,Performance,Synchronous Stripe SDK calls inside async background loops block the event loop,"payment_retry, corporate_autotopup, reconciliation, and stripe_reconcile all call the synchronous stripe-python SDK directly from async coroutines with no thread offload, so each Stripe HTTP round trip (hundreds of ms; seconds on timeout; a full paginated day-list for reconcile) freezes the replica's entire event loop — stalling WebSocket fan-out (<100ms SLA), dispatch offers, and every in-flight request on that pod.","Slows the system or breaches a latency target, hurting the rider/driver experience at scale.","MEDIUM-HIGH — a real defect that will surface under load, edge cases, or specific user flows; fix before it reaches those conditions.","Wrap every Stripe SDK call in these loops in `await asyncio.to_thread(...)` (or a dedicated executor), especially the paginated list iterations in the two reconcile jobs.","Wrap every Stripe SDK call in these loops in `await asyncio.to_thread(...)` (or a dedicated executor), especially the paginated list iterations in the two reconcile jobs.",,Open,,,
